index,output.relations_noOffset,aqs,aqs_initial
interdicts--operation,10605,0.0001,0.0001
intercepted-r-seized,10605,0.0001,0.0001
intercepted-r-nabbed,10605,0.0001,0.0001
capturing--pirate,10605,0.0001,0.0001
capturing-r-confiscating,10605,0.0001,0.0001
culminated-r-worked,10605,0.0001,0.0001
capturing-r-pirate,10605,0.0001,0.0001
capturing-r-transiting,10605,0.0001,0.0001
intended-r-targeted,10605,0.0001,0.0001
culminated-r-shooting,10605,0.0001,0.0001
case--concluded,10605,0.0001,0.0001
case--custody,10605,0.0001,0.0001
chaotic--turned,10605,0.0001,0.0001
in custody--remanded,10605,0.0001,0.0001
in connection-r-shooting,10605,0.0001,0.0001
identified--involving,10605,0.0001,0.0001
charged-r-revealed,10605,0.0001,0.0001
crime--shot,10605,0.0001,0.0001
heard--severe,10605,0.0001,0.0001
crime--shooting,10605,0.0001,0.0001
crime--doing,10605,0.0001,0.0001
have-r-shot,10605,0.0001,0.0001
have-r-riot,10605,0.0001,0.0001
creating-r-ugly,10605,0.0001,0.0001
charges--gunning down,10605,0.0001,0.0001
harming--in vain,10605,0.0001,0.0001
charges--seek,10605,0.0001,0.0001
creating-r-pointing,10605,0.0001,0.0001
charges-r-death,10605,0.0001,0.0001
happened--incident,10605,0.0001,0.0001
handed down-r-verdict,10605,0.0001,0.0001
charges-r-filed,10605,0.0001,0.0001
handed down--verdict,10605,0.0001,0.0001
handed down--murdering,10605,0.0001,0.0001
gunplay-r-trial,10605,0.0001,0.0001
feuding-r-wounded,10605,0.0001,0.0001
gunned down-r-wounded,10605,0.0001,0.0001
creating-r-melee,10605,0.0001,0.0001
charges-r-seek,10605,0.0001,0.0001
gunned down-r-leaving,10605,0.0001,0.0001
chase--killed,10605,0.0001,0.0001
heard-r-severe,10605,0.0001,0.0001
performing--wait,10605,0.0001,0.0001
heard-r-testify,10605,0.0001,0.0001
crime-r-doing,10605,0.0001,0.0001
hurled-r-shot,10605,0.0001,0.0001
hurled-r-killed,10605,0.0001,0.0001
hurled--shot,10605,0.0001,0.0001
houses--shooting,10605,0.0001,0.0001
fatally struck--watched,10605,0.0001,0.0001
hostile--killed,10605,0.0001,0.0001
charged--heard,10605,0.0001,0.0001
charged--hid,10605,0.0001,0.0001
hoping--suspicion,10605,0.0001,0.0001
charged--left,10605,0.0001,0.0001
hit-r-thrashing,10605,0.0001,0.0001
crimes-r-upheld,10605,0.0001,0.0001
charged--played,10605,0.0001,0.0001
crimes-r-die,10605,0.0001,0.0001
hit--thrashing,10605,0.0001,0.0001
hit--protest,10605,0.0001,0.0001
hit--marred,10605,0.0001,0.0001
hide-r-tried,10605,0.0001,0.0001
hide-r-left,10605,0.0001,0.0001
charged-r-convicted,10605,0.0001,0.0001
hearing-r-ruling,10605,0.0001,0.0001
hearing-r-laughed,10605,0.0001,0.0001
charged-r-heard,10605,0.0001,0.0001
charged-r-hid,10605,0.0001,0.0001
charged-r-in custody,10605,0.0001,0.0001
hearing--penciled in,10605,0.0001,0.0001
piracy--thwarting,10605,0.0001,0.047619047619
left--shooting,10605,0.0001,0.0001
another-r-protest,10605,0.0001,0.0001
administered-r-showing,10605,0.0001,0.0001
angry-r-arrested,10605,0.0001,0.0001
presented--trial,10605,0.0001,0.0001
deployed-r-thwarted,10605,0.0001,0.0001
presented--wounding,10605,0.0001,0.0001
put--shot,10605,0.0001,0.0001
deployed-r-rescued,10605,0.0001,0.0001
dui-r-latest,10605,0.0001,0.0001
doing-r-shooting,10605,0.0001,0.0001
shot-r-showed,10605,0.0001,0.0001
pushing-r-take,10605,0.0001,0.0001
driving-r-prior dui,10605,0.0001,0.0001
riot-r-smashed,10605,0.0001,0.0001
shot--yard work,10605,0.0001,0.0001
duties--found,10605,0.0001,0.0001
protest--vigil,10605,0.0001,0.0001
shot--working,10605,0.0001,0.0001
shot--violence,10605,0.0001,0.0001
doing-r-shot,10605,0.0001,0.0001
shot--suspicion,10605,0.0001,0.0001
anger-r-riot,10605,0.0001,0.0001
poured--shooting,10605,0.0001,0.0001
after--intoxicated,10605,0.0001,0.0001
shot-r-suspended,10605,0.0001,0.0001
shot-r-tried,10605,0.0001,0.0001
death-r-riots,10605,0.0001,0.0001
shows--spray,10605,0.0001,0.0001
detected--escorting,10605,0.0001,0.0001
duties-r-lying,10605,0.0001,0.0001
revealed-r-used,10605,0.0001,0.0001
described-r-regain,10605,0.0001,0.0001
discovered-r-thought,10605,0.0001,0.0001
pointing-r-shot,10605,0.0001,0.0001
pointing-r-ugly,10605,0.0001,0.0001
doing--shooting,10605,0.0001,0.0001
shots-r-wounded,10605,0.0001,0.0001
shot-r-wounded,10605,0.0001,0.0001
put-r-shot,10605,0.0001,0.0001
arraignment-r-passed,10605,0.0001,0.0001
angry-r-fights,10605,0.0001,0.0001
shot-r-worked,10605,0.0001,0.0001
angry-r-erupted,10605,0.0001,0.0001
deployed-r-thwarting,10605,0.0001,0.0001
action-r-nabbed,10605,0.0001,0.0001
arraignment-r-job,10605,0.0001,0.0001
administered--arrested,10605,0.0001,0.0001
arraignment--walked,10605,0.0001,0.0001
after--pulled over,10605,0.0001,0.0001
shot--sounds,10605,0.0001,0.0001
riot-r-war zone,10605,0.0001,0.0001
declared--rushed,10605,0.0001,0.0001
death-r-put,10605,0.0001,0.0001
death-r-life,10605,0.0001,0.0001
ambush-r-death,10605,0.0001,0.0001
apprehending--patrolling,10605,0.0001,0.0001
death—and-r-treatment,10605,0.0001,0.0001
death-r-penalty,10605,0.0001,0.0001
ambush-r-warrants,10605,0.0001,0.0001
death—and-r-protest,10605,0.0001,0.0001
anger-r-arrests,10605,0.0001,0.0001
anger-r-another,10605,0.0001,0.0001
death—and-r-mourn,10605,0.0001,0.0001
drawn--speeding,10605,0.0001,0.0001
application--hearing,10605,0.0001,0.0001
scrutiny--violations,10605,0.0001,0.0001
rushed--shooting,10605,0.0001,0.0001
scrutiny--shooting,10605,0.0001,0.0001
anger--shot,10605,0.0001,0.0001
scheduled-r-take the stand,10605,0.0001,0.0001
scheduled--take the stand,10605,0.0001,0.0001
scenes-r-vigil,10605,0.0001,0.0001
drawn--intoxicated,10605,0.0001,0.0001
protests--violations,10605,0.0001,0.0001
ruled-r-testify,10605,0.0001,0.0001
shooting--spiritual,10605,0.0001,0.0001
after-r-arrest,10605,0.0001,0.0001
protest-r-rioted,10605,0.0001,0.0001
shot--smashed,10605,0.0001,0.0001
another-r-marred,10605,0.0001,0.0001
after-r-drawn,10605,0.0001,0.0001
rioted--turned,10605,0.0001,0.0001
shot--showed,10605,0.0001,0.0001
driving--prior dui,10605,0.0001,0.0001
rioting--shot,10605,0.0001,0.0001
shooting-r-yard work,10605,0.0001,0.0001
shows--wounded,10605,0.0001,0.0001
protest-r-thrown,10605,0.0001,0.0001
delayed--threatened,10605,0.0001,0.0001
appeared--spoke,10605,0.0001,0.0001
approached-r-shot,10605,0.0001,0.0001
approached-r-pointing,10605,0.0001,0.0001
shooting-r-spoke,10605,0.0001,0.0001
aiming--collecting,10605,0.0001,0.0001
approached--pointing,10605,0.0001,0.0001
approached--killed,10605,0.0001,0.0001
protests--scrutiny,10605,0.0001,0.0001
appeared-r-shooting,10605,0.0001,0.0001
riots--shooting,10605,0.0001,0.0001
determined--doing,10605,0.0001,0.0001
scenes--vigil,10605,0.0001,0.0001
accused--charges,10605,0.0001,0.0001
access--escorted,10605,0.0001,0.0001
arrest--shot,10605,0.0001,0.0001
plagued-r-shooting,10605,0.0001,0.0001
drunk driving--time,10605,0.0001,0.0001
turned-r-vigil,10605,0.0001,0.0001
devolved-r-riot,10605,0.0001,0.0001
arrest--speeding,10605,0.0001,0.0001
suspended--trial,10605,0.0001,0.0001
died-r-married,10605,0.0001,0.0001
q&a-r-reviewed,10605,0.0001,0.0001
access-r-waved,10605,0.0001,0.0001
turned-r-wounded,10605,0.0001,0.0001
appealed--sentence,10605,0.0001,0.0001
released-r-showing,10605,0.0001,0.0001
tossing--wounded,10605,0.0001,0.0001
died--shooting,10605,0.0001,0.0001
suspended-r-taken into custody,10605,0.0001,0.0001
died--used,10605,0.0001,0.0001
trial--which,10605,0.0001,0.0001
drunk driving-r-time,10605,0.0001,0.0001
another--thrashing,10605,0.0001,0.0001
slain--snowballs,10605,0.0001,0.0001
