index,output.relations_lemma,aqs,aqs_initial
charge-r-seek,10605,0.0001,0.0001
fire--lead,10605,0.0001,0.0001
fire--give,10605,0.0001,0.0001
scrutiny--violation,10605,0.0001,0.0001
chase--suspect,10605,0.0001,0.0001
chase--walk,10605,0.0001,0.0001
chase--wound,10605,0.0001,0.0001
find-r-wait,10605,0.0001,0.0001
scrutiny--shooting,10605,0.0001,0.0001
chase-r-walk,10605,0.0001,0.0001
circumstance--find,10605,0.0001,0.0001
collapse--push,10605,0.0001,0.0001
collapse-r-push,10605,0.0001,0.0001
find--kill,10605,0.0001,0.0001
fatal shooting--gunplay,10605,0.0001,0.0001
riot-r-smash,10605,0.0001,0.0001
confess-r-take,10605,0.0001,0.0001
point-r-shot,10605,0.0001,0.0001
face--unnecessary,10605,0.0001,0.0001
riot--turn,10605,0.0001,0.0001
confiscate--on escort duty,10605,0.0001,0.0001
point-r-ugly,10605,0.0001,0.0001
execution--murder,10605,0.0001,0.0001
execute-r-nab,10605,0.0001,0.0001
riot--shooting,10605,0.0001,0.0001
consider--shot,10605,0.0001,0.0001
consider--suspicion,10605,0.0001,0.0001
escort-r-wound,10605,0.0001,0.0001
escort-r-wave,10605,0.0001,0.0001
consider-r-hope,10605,0.0001,0.0001
consider-r-look,10605,0.0001,0.0001
consider-r-shot,10605,0.0001,0.0001
escort-r-open fire,10605,0.0001,0.0001
control--hostile,10605,0.0001,0.0001
control--vigil,10605,0.0001,0.0001
convict--determine,10605,0.0001,0.0001
escort-r-kill,10605,0.0001,0.0001
conference-r-investigate,10605,0.0001,0.0001
conference--investigate,10605,0.0001,0.0001
fatal shooting--release,10605,0.0001,0.0001
conduct-r-mission,10605,0.0001,0.0001
come-r-hear,10605,0.0001,0.0001
file--gun down,10605,0.0001,0.0001
feud-r-wound,10605,0.0001,0.0001
commit--perform,10605,0.0001,0.0001
commit--wait,10605,0.0001,0.0001
rush--shooting,10605,0.0001,0.0001
commit-r-lie,10605,0.0001,0.0001
commotion-r-press up,10605,0.0001,0.0001
plea-r-schedule,10605,0.0001,0.0001
conclude--slaying,10605,0.0001,0.0001
conclude--violence,10605,0.0001,0.0001
convict--left,10605,0.0001,0.0001
conclude--warrant,10605,0.0001,0.0001
conclude--wound,10605,0.0001,0.0001
conclude-r-death,10605,0.0001,0.0001
conclude-r-parole,10605,0.0001,0.0001
rule-r-testify,10605,0.0001,0.0001
fatally strike--watch,10605,0.0001,0.0001
conduct--protest,10605,0.0001,0.0001
rioting--shot,10605,0.0001,0.0001
conduct--shooting,10605,0.0001,0.0001
conduct--thrashing,10605,0.0001,0.0001
riot-r-war zone,10605,0.0001,0.0001
conduct-r-mar,10605,0.0001,0.0001
conclude--weigh,10605,0.0001,0.0001
occur--violence,10605,0.0001,0.0001
devolve-r-riot,10605,0.0001,0.0001
murder-r-work,10605,0.0001,0.0001
murder--wait,10605,0.0001,0.0001
aim--collect,10605,0.0001,0.0001
name-r-shot,10605,0.0001,0.0001
left-r-run,10605,0.0001,0.0001
keep--lock up,10605,0.0001,0.0001
left-r-try,10605,0.0001,0.0001
left-r-wound,10605,0.0001,0.0001
keep-r-lock up,10605,0.0001,0.0001
mar-r-thrashing,10605,0.0001,0.0001
mar-r-protest,10605,0.0001,0.0001
accuse-r-delay,10605,0.0001,0.0001
mar--throw,10605,0.0001,0.0001
apprehend--patrolling,10605,0.0001,0.0001
let off-r-shot,10605,0.0001,0.0001
accuse-r-file,10605,0.0001,0.0001
turn-r-vigil,10605,0.0001,0.0001
turn--wound,10605,0.0001,0.0001
application--hearing,10605,0.0001,0.0001
name-r-violation,10605,0.0001,0.0001
join in--vigil,10605,0.0001,0.0001
murder-r-order,10605,0.0001,0.0001
appear--speak,10605,0.0001,0.0001
ambush-r-warrant,10605,0.0001,0.0001
kill--status,10605,0.0001,0.0001
kill--statement,10605,0.0001,0.0001
ambush-r-death,10605,0.0001,0.0001
lie--perform,10605,0.0001,0.0001
arrest--fight,10605,0.0001,0.0001
murder--reveal,10605,0.0001,0.0001
march--protest,10605,0.0001,0.0001
kill--smash,10605,0.0001,0.0001
murder--work,10605,0.0001,0.0001
mar-r-throw,10605,0.0001,0.0001
left--run,10605,0.0001,0.0001
left--shooting,10605,0.0001,0.0001
kill--snowball,10605,0.0001,0.0001
turn-r-wound,10605,0.0001,0.0001
accuse-r-hand down,10605,0.0001,0.0001
lie-r-murder,10605,0.0001,0.0001
kill--pointed,10605,0.0001,0.0001
kill--point,10605,0.0001,0.0001
suspend--trial,10605,0.0001,0.0001
struggle--vigil,10605,0.0001,0.0001
look--search,10605,0.0001,0.0001
name-r-reveal,10605,0.0001,0.0001
name--violation,10605,0.0001,0.0001
