worker,duration,output.relations_lemma.count,job,judgment,unit,wqs,wqs_initial
18960682,48.9473684211,1.5,1,114,114,0.238194045057,0.146451246093
44305197,41.1333333333,1.26666666667,1,15,15,0.239901204229,0.159230177758
41835374,43.0,1.0,1,1,1,0.240285340815,0.348263016573
43847974,178.68115942,1.0,1,69,69,0.240413127585,0.148569128687
44235614,56.5,1.0,1,30,30,0.240696119474,0.129821543799
16854635,60.0582524272,1.0,1,103,103,0.241713276056,0.12691470088
44062380,87.0292397661,1.13450292398,1,171,171,0.244990397031,0.168692643647
44208285,99.3404255319,1.0,1,47,46,0.247071888364,0.143472936982
38158803,23.75,1.0,1,4,4,0.24760162819,0.193575526042
43856242,53.3333333333,1.33333333333,1,3,3,0.248917007486,0.186748704198
22489346,35.4545454545,1.0,1,11,11,0.251048129209,0.172433330963
11131207,128.051136364,1.16477272727,1,176,176,0.251062476742,0.15429081819
44251435,52.8571428571,1.28571428571,1,7,7,0.251106084701,0.134366585701
44164300,70.1666666667,3.16666666667,1,6,6,0.255177261128,0.1662188685
29301997,36.75,1.0,1,4,4,0.256178486252,0.171728808416
44255757,7.0,1.0,1,3,3,0.258951523265,0.207854421907
32631430,20.8,1.0,1,10,10,0.259139483557,0.111840001666
44215920,147.737288136,1.0,1,118,117,0.259575959392,0.156479729608
44084851,46.4,1.8,1,5,5,0.260654704764,0.245451927819
44101328,231.891304348,1.95652173913,1,46,46,0.261450824393,0.148851636386
39073124,42.7058823529,2.0,1,17,17,0.261998542508,0.191862945779
6336109,112.897435897,1.51282051282,1,39,39,0.26262094234,0.168988608573
28521374,69.2307692308,1.0,1,13,13,0.263449507735,0.184491940597
43906893,74.0,2.66666666667,1,3,3,0.264573628763,0.14406232187
43755034,53.0,3.0,1,1,1,0.266656342623,0.189420302314
29289135,61.4782608696,1.66304347826,1,92,92,0.268551420056,0.162745119317
43884271,34.5789473684,1.0,1,76,76,0.268574699739,0.183020787792
42696194,26.8333333333,2.16666666667,1,6,6,0.26939726315,0.199933297577
44294485,20.1951219512,1.90243902439,1,41,41,0.269664529044,0.17330416931
44202411,37.7333333333,1.6,1,15,15,0.270387748737,0.192057686443
44156451,56.0,2.0,1,4,4,0.273294272342,0.141268248208
44029695,78.2666666667,2.53333333333,1,15,15,0.273349989926,0.198392826265
42934441,54.8571428571,1.35714285714,1,14,14,0.276812321432,0.136417898295
43707962,67.8,1.2,1,5,5,0.2779976543,0.179150086719
34609243,54.75,1.0,1,4,4,0.278115752008,0.302782687563
31883685,56.9787234043,1.34042553191,1,141,141,0.279005492278,0.182205748502
40925305,45.3978494624,1.56989247312,1,93,93,0.279526656144,0.171214836103
30584198,57.1,1.6,1,10,10,0.279726611417,0.202989489504
44241043,13.0,1.0,1,1,1,0.279796268849,0.183644698043
43978267,96.0,1.2,1,15,15,0.280371581002,0.106016072548
27934334,57.1428571429,1.62857142857,1,70,70,0.280651022869,0.172725800722
43741430,19.54,1.04,1,50,50,0.282402743152,0.174393338746
43787258,59.9444444444,1.0,1,18,18,0.283236855382,0.169333483052
6367365,37.9215686275,1.3137254902,1,51,51,0.28605584973,0.16627186946
43783971,34.3846153846,3.01923076923,1,52,52,0.286803547567,0.166760588827
6377879,37.2816901408,1.74647887324,1,71,71,0.287276785866,0.189376069158
44276910,113.6,1.0,1,15,15,0.289172367783,0.176925570891
18972023,66.9464285714,1.10714285714,1,56,56,0.289351858471,0.170626535669
29096504,25.9649122807,1.45614035088,1,57,57,0.29031179969,0.16403954164
32850083,45.4444444444,1.82222222222,1,90,90,0.290983286281,0.165055872904
1883056,45.2173913043,1.91304347826,1,69,69,0.291113118524,0.180441886256
34534543,212.5,2.0,1,2,2,0.293337972999,0.241301359142
44215950,165.071428571,1.71428571429,1,14,14,0.294155159188,0.19234495858
44133399,208.14893617,2.02127659574,1,47,47,0.294599999724,0.183758735342
44220819,101.242424242,1.06060606061,1,66,66,0.294835857522,0.183730201293
44215825,591.333333333,2.0,1,15,15,0.296053841419,0.153599107193
44112578,70.2941176471,1.58823529412,1,34,34,0.298019258257,0.135325136909
44237591,108.5,5.0,1,2,2,0.298590671961,0.184762554061
44282542,186.333333333,3.66666666667,1,3,3,0.299483345962,0.240629700598
44277014,159.433333333,1.36666666667,1,30,30,0.30073328423,0.205861239986
44116196,125.111111111,2.44444444444,1,9,9,0.302139564583,0.158658643125
43063480,71.2666666667,1.26666666667,1,15,15,0.304025942615,0.141189318034
44237743,35.4444444444,4.66666666667,1,9,9,0.304521379367,0.19979466571
24403612,35.3541666667,1.14583333333,1,48,48,0.305583722474,0.169512376623
44217509,42.0,3.0,1,1,1,0.308915702138,0.194010179359
41499434,34.6666666667,1.57333333333,1,75,75,0.310219198642,0.203901212302
44276035,119.8,2.0,1,30,30,0.311250568871,0.237041491529
5861591,37.8214285714,1.57142857143,1,28,28,0.311900508968,0.195088527573
44246740,110.295454545,3.06818181818,1,44,44,0.312697677835,0.188829330028
6413571,70.3846153846,1.61538461538,1,13,13,0.313157992593,0.203385265091
44338739,118.733333333,3.6,1,15,15,0.314148052288,0.212919025164
44094520,237.4,2.6,1,5,5,0.314269088581,0.167347402444
44303394,59.5294117647,2.0,1,17,17,0.316111300578,0.219132943166
38202325,164.504854369,1.74757281553,1,206,206,0.316750709728,0.191349894108
36313199,37.95,1.65,1,20,20,0.317988058057,0.213995965148
11001780,89.5,1.0,1,2,2,0.318672214271,0.284286724592
43997601,149.857142857,1.0,1,14,14,0.318893827879,0.192020147443
44213031,72.5,1.75,1,4,4,0.321734604603,0.19630995241
44244017,64.9090909091,1.18181818182,1,22,22,0.321967167436,0.206255841065
43980338,69.0,1.5,1,4,4,0.325942401378,0.143209498922
44137551,23.8,1.0,1,30,30,0.326695377613,0.23179676746
44012585,69.7659574468,1.0,1,47,47,0.327419370773,0.228589830156
44276056,83.2666666667,1.01666666667,1,60,60,0.330989202939,0.212911890053
44170407,36.32,3.16,1,50,50,0.331711027605,0.194799055948
44303332,74.4,2.13333333333,1,15,15,0.332507421795,0.235822802108
43951421,37.3636363636,1.45454545455,1,11,11,0.336402950427,0.161143689104
44188219,142.0,1.0,1,1,1,0.336720827467,0.379628301183
42847740,98.0,1.0,1,1,1,0.336720827467,0.379628301183
18614189,79.6666666667,1.33333333333,1,3,3,0.337426780467,0.220389528844
38548574,57.1666666667,2.16666666667,1,6,6,0.337698967334,0.259945524137
44339902,170.375,2.25,1,8,8,0.33810750187,0.183473951399
43939704,23.75,4.125,1,64,64,0.339916042598,0.200067730682
44187371,46.625,4.625,1,16,16,0.343102084106,0.190306249048
18531561,70.3333333333,2.33333333333,1,3,3,0.347273875084,0.224340131043
44260958,32.0,2.0,1,5,5,0.348739287849,0.166899071959
44000728,102.15,1.06666666667,1,60,60,0.350178710109,0.179550534608
43858672,30.5,1.0,1,6,6,0.356020039399,0.233177903654
44004954,118.333333333,1.0,1,6,6,0.35636013927,0.209840916932
44214882,132.227272727,1.97727272727,1,44,44,0.358199942201,0.235903313689
44131306,106.266666667,1.0,1,30,30,0.358365582285,0.248637508592
40032300,31.5063291139,1.56962025316,1,79,79,0.359159355328,0.203892227139
44088267,65.3333333333,1.4,1,15,15,0.361042711445,0.21859653606
15193250,48.6511627907,3.46511627907,1,43,43,0.361636719192,0.230560288036
44218005,101.02173913,2.0,1,46,46,0.362889709212,0.212785975165
44293157,12.0,5.0,1,1,1,0.366725824336,0.180561522263
44187710,57.5384615385,1.30769230769,1,13,13,0.367404893296,0.181802985257
44054204,114.615384615,1.76923076923,1,26,26,0.368274039301,0.174898353559
44057528,143.9,1.65,1,20,20,0.369526027216,0.239975553945
43021376,86.8181818182,1.18181818182,1,11,11,0.372510190505,0.204135897049
44220882,190.423076923,1.57692307692,1,26,26,0.375413700458,0.20957096475
44227105,77.0,2.0,1,24,24,0.375694919896,0.216042115618
44247585,128.111111111,3.33333333333,1,9,9,0.378630609501,0.200414039336
44254972,121.333333333,2.0,1,3,3,0.379993722672,0.294177509738
44152442,162.0,1.0,1,3,3,0.381354591142,0.244079243963
43996498,87.2,1.0,1,5,5,0.385673785507,0.172531988189
43959305,25.40625,4.078125,1,64,64,0.386864171929,0.235982360161
12874324,255.666666667,1.5,1,6,6,0.393066489855,0.236139280498
44276946,106.866666667,1.43333333333,1,30,30,0.393290779078,0.285673864415
44201185,178.875,3.0,1,8,8,0.39507608088,0.175082561394
41545007,60.9433962264,4.11320754717,1,53,53,0.395886155315,0.248565549205
44190030,94.5576923077,2.11538461538,1,52,52,0.397272503178,0.20150962698
44071870,136.733333333,1.83333333333,1,30,30,0.398537124436,0.196435704919
44118344,57.1111111111,5.0,1,9,9,0.399492342777,0.285185473776
34713230,34.8,1.2,1,5,5,0.403515062914,0.317783727909
44240152,55.4324324324,1.0,1,37,37,0.403544728154,0.280321218193
41125622,108.0,1.0,1,2,2,0.405807737488,0.268467000437
43999669,37.375,2.77083333333,1,48,48,0.407055550687,0.234455636114
44211899,133.611111111,3.94444444444,1,18,18,0.408488189936,0.284120568741
31988217,31.1481481481,1.40740740741,1,27,27,0.412021691405,0.247170953538
44235292,41.8289473684,2.86842105263,1,76,76,0.412514470851,0.275038209579
39664721,47.6666666667,1.66666666667,1,6,6,0.412715330338,0.322001794618
24280827,62.8,1.06666666667,1,15,15,0.414086008068,0.203974552977
13300986,30.0769230769,1.38461538462,1,13,13,0.415464773638,0.21869036799
44090708,148.363636364,1.59090909091,1,22,22,0.419864277371,0.200701915645
44283307,17.7647058824,2.0,1,17,17,0.421379846689,0.226382628905
43314753,37.5,4.25,1,4,4,0.428668272355,0.305089170932
44235589,37.6470588235,1.0,1,34,34,0.432277177425,0.301690005356
44287131,41.9333333333,4.33333333333,1,30,30,0.434882138421,0.274660038869
19854505,47.0,1.0,1,1,1,0.440831405893,0.216525629272
6352345,33.9230769231,2.0,1,13,13,0.442155311395,0.253150391534
44287673,40.6428571429,1.92857142857,1,14,14,0.445366309909,0.308127067483
43869892,205.833333333,2.66666666667,1,6,6,0.452886074097,0.274767212085
44203820,140.625,8.0,1,8,8,0.453006901559,0.281101696867
43799342,64.4,1.6,1,5,5,0.453109629876,0.200863001665
44216020,228.55,1.0,1,20,20,0.464539243433,0.299966993256
11460728,43.0,1.33333333333,1,3,3,0.465011180949,0.301107635337
44244709,521.5,4.75,1,4,4,0.479806079173,0.317574128462
44213555,84.0,1.0,1,1,1,0.480138571867,0.37620931352
43371725,81.0,2.0,1,1,1,0.483613400388,0.2583717007
44136987,70.4666666667,1.8,1,15,15,0.49300366774,0.290791050293
6823072,94.5,1.0,1,2,2,0.494448729131,0.339046586652
7012325,113.0,4.0,1,1,1,0.500551941204,0.331757769789
44302419,69.25,10.25,1,8,8,0.50146207837,0.341486111506
38846365,87.8,1.4,1,10,10,0.507937419443,0.252853364413
44204650,38.0,1.0,1,2,2,0.511660646718,0.160645402607
20312760,24.4705882353,1.17647058824,1,17,17,0.5138133654,0.326639518273
39027412,82.6363636364,2.0,1,11,11,0.520665843758,0.288800561628
44013595,61.4666666667,2.13333333333,1,15,15,0.523568554589,0.296928210624
44182794,54.5,2.0,1,2,2,0.523765251645,0.428412474752
42927472,131.25,1.25,1,4,4,0.535296190848,0.370314882742
37881503,39.6666666667,3.0,1,9,9,0.537763909411,0.303485838072
44182591,74.25,1.0,1,4,4,0.541384928811,0.332951130455
44257917,116.0,8.66666666667,1,6,6,0.541717177559,0.385845223674
32173500,60.7142857143,2.0,1,7,7,0.54227111745,0.203015119155
44161624,116.666666667,3.0,1,3,3,0.551658364286,0.389071637409
39478708,145.16,3.08,1,25,25,0.557233315408,0.296268034942
23287154,50.0666666667,3.0,1,15,15,0.558293121107,0.313118707359
44203888,105.660606061,8.47272727273,1,165,165,0.55839497353,0.35668508643
44259754,80.0,3.6,1,15,15,0.558772985032,0.380137494999
36826029,128.19047619,2.0,1,21,21,0.561140697639,0.337668696227
44292104,86.7,7.0,1,10,10,0.562057993938,0.388729894853
44229830,64.8695652174,7.94202898551,1,69,69,0.566950518695,0.36305481584
6330007,46.5,2.5,1,2,2,0.571653501912,0.375863076737
44108545,65.7833333333,7.28333333333,1,60,60,0.57425394494,0.367006977592
44218485,52.6379310345,9.55172413793,1,58,58,0.575540027297,0.422326885722
44277314,67.4,10.4,1,30,30,0.582917331137,0.439360738661
44223038,80.6666666667,9.9,1,60,60,0.585609830048,0.435080617685
44144187,75.1333333333,10.2666666667,1,15,15,0.588106593008,0.409148040415
43708576,10.0,1.0,1,3,3,0.592361670534,0.475580268746
44277267,83.6216216216,8.27027027027,1,37,37,0.592862158286,0.446323723445
42783052,47.0,5.0,1,1,1,0.597245719242,0.344576358889
44199127,110.066666667,3.53333333333,1,15,15,0.599731371074,0.271534556828
44277809,56.4133333333,8.64,1,75,75,0.611653206128,0.452508955216
44258019,100.416666667,7.33333333333,1,12,12,0.614438481351,0.447819006081
44255568,277.0,2.0,1,1,1,0.616728416556,0.421170807903
44333710,7.0,2.0,1,1,1,0.620468244324,0.206396943463
44232898,73.1538461538,8.15384615385,1,26,26,0.623354939499,0.440158716591
28709211,89.0,1.0,1,1,1,0.628370849409,0.592276103581
44305715,70.6933333333,8.48,1,75,75,0.631918277453,0.46535891904
44306048,79.3333333333,10.4,1,15,15,0.643366722096,0.469356339239
41264988,71.0,3.0,1,1,1,0.644860272281,0.37428900525
44291491,76.1578947368,8.21052631579,1,19,19,0.646069516164,0.454116324168
44305929,121.733333333,9.4,1,30,30,0.647974763633,0.497842758816
44307472,112.525,8.95,1,40,40,0.662435865736,0.490976343725
44311752,90.3636363636,11.0909090909,1,11,11,0.663436334633,0.505666167241
44230328,28.0,3.0,1,2,2,0.674599746522,0.455520932325
44266195,91.6666666667,1.0,1,6,6,0.679025109618,0.513079228099
