worker,duration,output.relations_noOffset.count,job,judgment,unit,wqs,wqs_initial
44127254,66.5833333333,2.0,1,12,12,0.330108658646,0.200420631526
44176037,88.5,1.0,1,6,6,0.330990872115,0.181104012324
34070076,62.8181818182,1.27272727273,1,22,22,0.331005412669,0.181511302437
43228472,38.0,4.0,1,2,2,0.331336244979,0.231456961029
24043308,42.9090909091,1.40909090909,1,44,44,0.331808591871,0.170597560916
44261167,19.320754717,1.62264150943,1,53,53,0.332889057998,0.197292090421
30777913,38.0,2.6,1,5,5,0.33705687112,0.256392093751
19838540,79.6488549618,1.23664122137,1,131,131,0.341338428909,0.203141403224
43887010,83.0,2.0,1,1,1,0.341610717863,0.255511816286
44220760,81.7333333333,1.86666666667,1,15,15,0.342082412613,0.28953402992
44187371,28.3,4.5,1,20,20,0.344585757153,0.165366799051
42783052,82.4,3.3,1,40,40,0.34519640105,0.158317588432
12366026,29.8888888889,4.22222222222,1,9,9,0.347507678562,0.209078669862
3696575,49.25,1.5,1,4,4,0.347772106664,0.221869442923
13300986,35.0689655172,1.74137931034,1,58,58,0.348739869985,0.195907823926
18466403,72.75,1.25,1,4,4,0.349765250816,0.194110855466
30766630,70.3595505618,1.78651685393,1,89,89,0.350626430442,0.199521052934
44308105,84.1764705882,1.0,1,17,17,0.352110498231,0.256254425412
12115558,25.4,1.13333333333,1,15,15,0.352864298923,0.173634046154
44266069,281.0,1.33333333333,1,6,6,0.353007893661,0.195448290224
43959305,20.0,4.30909090909,1,55,55,0.353457059413,0.259977036889
44170407,51.6153846154,3.07692307692,1,39,39,0.354507588777,0.214306364043
29096504,25.2,1.2,1,5,5,0.356829066074,0.160950664997
34699374,55.5,3.5,1,2,2,0.357791191022,0.269763185351
38202325,149.770114943,1.75862068966,1,174,174,0.359500684891,0.198811676807
39226056,166.909090909,1.59090909091,1,22,22,0.360005298537,0.16879030746
44231434,71.5806451613,3.16129032258,1,31,31,0.361410528624,0.247178042387
27934334,43.6923076923,1.59615384615,1,52,52,0.361646358731,0.224474151039
44290398,107.0,5.0,1,3,3,0.363714036012,0.226850185222
44247585,185.842105263,3.10526315789,1,19,19,0.366426256725,0.219905622335
44213102,80.6666666667,1.0,1,15,15,0.367895767439,0.260544162923
6367365,41.1608391608,1.40559440559,1,143,143,0.371056457771,0.194616759054
11131207,139.948275862,1.36781609195,1,174,174,0.371507771553,0.201867623937
43619823,44.7058823529,1.88235294118,1,17,17,0.372634322527,0.216317182162
39027412,84.0303030303,1.9696969697,1,33,33,0.372787984686,0.242471480988
14861092,24.5853658537,1.34146341463,1,41,41,0.375166516405,0.191360820427
36313199,53.1363636364,1.70454545455,1,44,44,0.375561690084,0.203927624018
39017656,71.7333333333,1.26666666667,1,15,15,0.377477646663,0.177239624277
44276035,90.8709677419,2.0,1,31,31,0.37999683008,0.262448041683
32356401,21.0,2.5,1,2,2,0.381545396733,0.247341549572
22496080,48.6,1.0,1,5,5,0.382545632577,0.231111361941
44162779,182.647058824,2.05882352941,1,17,17,0.382643643546,0.199213058585
44235292,53.6545454545,2.43636363636,1,55,55,0.383196530716,0.254945214516
22360250,27.8,2.8,1,5,5,0.384779153115,0.138375989449
11257883,314.346153846,1.15384615385,1,26,26,0.385466299807,0.229594249456
27674429,74.8,1.33333333333,1,15,15,0.387225962592,0.238266133719
31585669,61.5555555556,3.0,1,18,18,0.38769529957,0.192754515702
31883685,47.2134831461,1.69662921348,1,89,89,0.389559978408,0.207508010251
18960682,52.3214285714,2.0,1,56,56,0.389860949299,0.206614921435
44218005,113.440860215,2.0,1,93,93,0.391645770087,0.270580194336
24403612,52.5512820513,1.35897435897,1,78,78,0.39319766998,0.21129903161
42687475,90.25,5.0,1,4,4,0.393460949031,0.189043407448
19294877,117.285714286,1.33333333333,1,21,21,0.39408003588,0.246948533387
38082417,34.0,1.0,1,7,7,0.394704615812,0.296554656923
40032300,35.0367647059,1.99264705882,1,136,136,0.395955449628,0.219761289665
43826288,67.5,1.5,1,2,2,0.396705226975,0.244224029885
1924522,21.4117647059,1.58823529412,1,17,17,0.397425352595,0.232838571301
44220382,82.8103448276,2.05172413793,1,58,58,0.397446584701,0.232168303454
43939704,22.4727272727,4.47272727273,1,55,55,0.399570089382,0.295227438891
44039290,86.8863636364,1.97727272727,1,44,44,0.402904674811,0.307542364153
13581319,22.8113207547,1.18867924528,1,53,53,0.403260308562,0.241732820592
15193250,43.4523809524,2.54761904762,1,84,84,0.404484183999,0.249592341137
44142832,113.483870968,2.0,1,31,31,0.404635453137,0.303226181035
41499434,27.0666666667,2.16666666667,1,30,30,0.405493497377,0.224680267183
6524027,42.5263157895,1.69736842105,1,76,76,0.407251139977,0.220020883697
44057828,25.4,1.7,1,10,10,0.407711150758,0.256576987199
27914150,19.6,1.0,1,5,5,0.408527820755,0.256345636606
29768955,29.8333333333,1.0,1,6,6,0.411679393735,0.256824599061
44211899,98.6875,2.8125,1,16,16,0.411816575589,0.251609452689
44309696,17.0,2.4,1,5,5,0.412757527594,0.25354668936
38548574,41.7894736842,1.86842105263,1,38,38,0.413738338405,0.230359689424
44259754,12.5,2.5,1,4,4,0.41396255571,0.3066998211
41957650,42.0,1.25,1,8,8,0.414265404473,0.277342061242
6330007,120.314814815,1.66666666667,1,54,54,0.414856068082,0.220666116414
44071870,118.1875,2.2265625,1,128,128,0.41570743108,0.242133824338
12874324,82.6666666667,2.0,1,3,3,0.416116377481,0.238358615522
6377879,42.7116564417,1.62576687117,1,163,163,0.416661592005,0.234939279355
1855113,55.7714285714,2.05714285714,1,35,35,0.420442274406,0.256294235357
43578523,75.0625,1.3125,1,16,16,0.422674413355,0.235436627959
39463195,94.3333333333,1.0,1,3,3,0.426902762495,0.172861806638
43708576,107.533333333,1.46666666667,1,15,15,0.431834092386,0.259571208537
44190030,113.727272727,1.93939393939,1,33,33,0.433652002329,0.291798010362
44230328,39.1666666667,2.0,1,18,18,0.433727811337,0.213537622201
44133399,128.855072464,2.28985507246,1,69,69,0.436016776154,0.241159533247
20312760,33.7804878049,1.65853658537,1,41,41,0.437219894054,0.247330797777
39170292,85.0,2.0,1,1,1,0.439331399501,0.193037916635
43889159,226.0,1.66666666667,1,6,6,0.439557920181,0.18514724162
