,duration,job,judgment,output.rellist.count,unit,wqs,wqs_initial
A2EELTS09HUTSF,224.75,1,8,3.125,8,0.385394431678,0.212278752262
A2FI2VTA8JVYS6,97.0,1,1,1.0,1,0.636749443111,0.426776695297
A2FXD55FJV1RSV,32.0,1,1,1.0,1,0.0,0.0
A2HGRSPR50ENHL,48.7551020408,1,49,1.12244897959,49,0.439846178071,0.298669924037
A2HNP1YL1IBFMU,59.0,1,11,1.09090909091,11,0.743875134118,0.553634956236
A2HTN7HCNBQ8V4,18.0,1,1,1.0,1,0.780539364207,0.711512473538
A2KLJKDG90K1PP,70.1666666667,1,6,1.83333333333,6,0.559227912219,0.383148564429
A2LPRUXRREYKGO,255.0,1,1,3.0,1,0.162285355644,0.127240226919
A2P065E9CYMYJL,16.1126760563,1,142,1.02112676056,142,0.516225870629,0.372817730829
A2Q8N687305WLH,110.0,1,1,1.0,1,0.430656261017,0.408248290464
A2QVMCGDLTWV9,81.0791366906,1,139,1.51798561151,139,0.682315357125,0.565094541028
A2RMJNF6IPI42F,127.0,1,1,3.0,1,0.397529776294,0.379357062486
A2S75O867RJG0I,139.833333333,1,6,1.0,6,0.737162741339,0.613817226172
A2SD7GN80U31GW,46.1536643026,1,423,1.22695035461,423,0.689689800397,0.525458295925
A2T5CROJ0FWIJY,63.5135135135,1,37,1.02702702703,37,0.657076595759,0.443499207697
A2U83S62P8SZ6T,84.0,1,1,2.0,1,0.218702452092,0.328271813207
A2UHF7UL7G0Y78,75.3636363636,1,11,1.0,11,0.442345237905,0.24922049859
A2V8LLZRTOP79S,131.5,1,2,1.0,2,0.869021915176,0.833233639758
A2WGW5Y3ZFBDEC,290.0,1,1,1.0,1,0.695215037932,0.711512473538
A2WP3WEYA1SQCA,61.6923076923,1,13,1.30769230769,13,0.460465774247,0.276184168584
A2WQT33K6LD9Z5,121.25,1,12,1.08333333333,12,0.57646854103,0.358847593724
A2WTNZHRALOHX8,224.285714286,1,7,1.14285714286,7,0.455257146624,0.386470742557
A2YJQUHFIXNOY0,89.0,1,2,1.0,2,0.939820768705,0.949006163923
A2YO837C0O1E91,107.0,1,2,1.0,2,0.447111064029,0.357803596695
A2YTOX7SEDJ1TC,56.0,1,8,2.625,8,0.484112089793,0.382602039378
A2Z4BUU0TCEO4Q,221.0,1,1,2.0,1,0.00104308819296,0.007290148044
A2ZRF4I5RTKN7G,50.0769230769,1,13,1.30769230769,13,0.676701734021,0.529496578871
A30JB0LFI1MCQS,112.666666667,1,3,1.66666666667,3,0.59626291743,0.425569944063
A314XJY8V1YL12,242.0,1,1,1.0,1,0.928379551354,0.899105460252
A31O43Y575I5C2,87.2788461538,1,104,1.42307692308,104,0.66164039856,0.488712562276
A31XNLA9REVGXL,174.733870968,1,124,1.14516129032,124,0.695288099357,0.530075220609
A34QZDSTKZ3JO9,36.7259475219,1,343,1.16909620991,343,0.620736569185,0.439292056783
A37JD0XUZHQYRC,61.5,1,4,1.0,4,0.509102717451,0.361360111042
A37XJVQF62ZYC,44.0454545455,1,22,1.22727272727,22,0.395734578912,0.227262263585
A38DXFI1TZA295,52.1071428571,1,56,1.42857142857,56,0.677448664015,0.494502312829
A394PCJZ22IIHV,73.2,1,10,1.2,10,0.58361400794,0.336420957006
A397157QX8JVSQ,203.25,1,4,1.25,4,0.690664274034,0.455179566452
A3A8P4UR9A0DWQ,109.857142857,1,7,1.28571428571,7,0.703182976901,0.51340153565
A3BI0AX5T5GVO3,20.2272727273,1,66,1.30303030303,66,0.332695146445,0.20064098496
A3BL2ZEODD79AZ,48.14,1,50,1.06,50,0.403441874836,0.257543612977
A3BVPQFBYGWJWX,37.0,1,1,2.0,1,0.64176864634,0.5
A3F6SDO4GYBE4Y,39.0,1,5,1.2,5,0.419542024324,0.311712697263
A3FWS11PAI3GP0,147.0,1,1,1.0,1,1.0,1.0
A3GAQNTZ1V1VO,66.5,1,2,1.0,2,0.0539619462827,0.0480792194445
A3GM78FCDY293T,89.1612903226,1,31,2.25806451613,31,0.661511790949,0.559185417658
A3HMDGRGC5JB7E,193.571428571,1,14,1.0,14,0.2877563961,0.192933078801
A3HTDIOZQ4ADI3,32.8888888889,1,9,1.33333333333,9,0.370796295617,0.174761048926
A3KN0O7VP8YSZY,77.1576763485,1,241,1.39419087137,241,0.746696297492,0.620419585882
A3L5M80U6TSFJO,51.875,1,8,1.25,8,0.441967287913,0.166032180606
A3LV60O7E3XAN4,62.0,1,1,1.0,1,0.30674227032,0.203635044124
A3MDKF8JMAOKVX,57.6666666667,1,6,1.16666666667,6,0.633582090411,0.318183011949
A3NHUXDHHBXSR3,124.555555556,1,9,2.33333333333,9,0.196487018258,0.14518848218
A3O8YXPG1HGUH0,185.0,1,1,4.0,1,0.241762823907,0.261480288676
A3OW5EFQ5QFD19,318.0,1,1,2.0,1,0.71819141981,0.669127528371
A3P5FW28UQ2FM8,156.0,1,1,1.0,1,0.053323053063,0.0753778361444
A3QC57KUVJP5EW,190.0,1,1,3.0,1,0.180733959249,0.170344034422
A3SDFAOJW87FGP,43.5217391304,1,506,1.05731225296,506,0.644492454302,0.485855464588
A3SW7C50H0E9U3,53.0,1,1,2.0,1,0.12292233886,0.205077759128
A3U6IA3JUSFZ2M,67.8717948718,1,78,1.25641025641,78,0.678401331739,0.516125647487
A3US3R22I0W1QE,252.0,1,1,2.0,1,0.290014908029,0.360767851215
A3UUH3632AI3ZX,94.0,1,1,1.0,1,0.443676035438,0.408248290464
A3UV55HC87DO9C,60.8169934641,1,153,1.39869281046,153,0.614296946531,0.440659685934
A3VG66B6CI1EXN,67.0,1,1,1.0,1,1.0,1.0
A563JDEQMNQTI,68.6363636364,1,11,1.18181818182,11,0.428700696543,0.207995416191
A5TI9UQEPLNWI,50.4588235294,1,85,1.18823529412,85,0.757343901883,0.636468025385
A5V3ZMQI0PU3F,216.035714286,1,28,1.46428571429,28,0.545578704184,0.403490233362
A610SH5RY1NG1,25.8870967742,1,248,1.81048387097,248,0.605742369079,0.462267411492
A6FQHZ58DQ0S6,122.307692308,1,13,1.23076923077,13,0.609744690613,0.458758880858
A6JKKANO7F4KD,61.3333333333,1,3,1.33333333333,3,0.887344738975,0.861231029466
A7SM0NS3IFW96,97.9375,1,32,1.65625,32,0.513642769779,0.294823426733
A8NUCTL00M11Q,35.3461538462,1,26,5.76923076923,26,0.0417324119018,0.0689827558644
A9AHVN33RO4QC,57.6,1,5,1.0,5,0.359567890868,0.229816746103
ABX5OQLR6UNBC,48.2676767677,1,198,1.24747474747,198,0.703067495486,0.534594837796
ACGHHDT7RY1AH,55.3333333333,1,21,1.04761904762,21,0.768510352666,0.627853221835
ADAKTHXLJRCI7,151.0,1,1,1.0,1,0.0916450009334,0.0944911182523
ADD5IHZ1P6TLH,248.0,1,2,1.5,2,0.792556322195,0.644348790133
ADJUMNMLC8H1I,162.0,1,1,2.0,1,0.659139376293,0.440773075582
ADVIE0ZHLWDDH,67.5,1,2,1.5,2,0.257375454297,0.210246006066
AGDDGSV1IQ0Z4,121.75,1,4,1.5,4,0.245103789009,0.138639346355
AH4SMMFHDHK1L,61.0,1,19,1.0,19,0.340470882622,0.183251095741
AHL33DDQX8O6K,46.2244094488,1,254,1.00787401575,254,0.58654185051,0.402917065256
AIWEXPJAU66D9,428.0,1,1,1.0,1,0.137172912989,0.178122144472
AJPQEZBVJXVE9,34.6741071429,1,224,1.26785714286,224,0.723243126814,0.550552834522
AJWES6SFIP3AT,277.109195402,1,174,1.20114942529,174,0.532800410968,0.396698469886
AKD76XZXO3B2A,46.1666666667,1,6,2.0,6,0.690238401727,0.475445755742
AKVDY8OXNMQED,85.2222222222,1,36,1.75,36,0.586700671906,0.474767194016
